title,imdb_poster,imdb_place,imdb_score,filmweb_poster,filmweb_place,filmweb_score
2001: A Space Odyssey,"http://ia.media-imdb.com/images/M/MV5BNDYyMDgxNDQ5Nl5BMl5BanBnXkFtZTcwMjc1ODg3OA@@._V1_SY50_CR2,0,34,50_AL_.jpg",93,8.3,,,
For a Few Dollars More,"http://ia.media-imdb.com/images/M/MV5BMTQzMjIzOTEzMF5BMl5BanBnXkFtZTcwMTUzNTk3NA@@._V1_SX34_CR0,0,34,50_AL_.jpg",94,8.3,,,
Rashomon,"http://ia.media-imdb.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1._CR0,0,503,683_SY50_CR1,0,34,50_AL_.jpg",95,8.3,,,
L.A. Confidential,"http://ia.media-imdb.com/images/M/MV5BMTQ5MTU4MzQ5NF5BMl5BanBnXkFtZTcwMjY1OTM2MQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",96,8.3,,,
The Kid,"http://ia.media-imdb.com/images/M/MV5BMTkzNTgxMDU1OF5BMl5BanBnXkFtZTgwOTQ3MjI2MzE@._V1_SY50_CR1,0,34,50_AL_.jpg",97,8.3,,,
All About Eve,"http://ia.media-imdb.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX34_CR0,0,34,50_AL_.jpg",98,8.3,,,
The Apartment,"http://ia.media-imdb.com/images/M/MV5BMTM1OTc4MzgzNl5BMl5BanBnXkFtZTcwNTE2NjgyMw@@._V1_SX34_CR0,0,34,50_AL_.jpg",99,8.3,,,
Inglourious Basterds,"http://ia.media-imdb.com/images/M/MV5BMjIzMDI4MTUzOV5BMl5BanBnXkFtZTcwNDY3NjA3Mg@@._V1_SX34_CR0,0,34,50_AL_.jpg",100,8.3,http://1.fwcdn.pl/po/77/47/137747/7276639.4.jpg,64,7.0
  ,,,,http://1.fwcdn.pl/po/11/13/1113/7521191.4.jpg,100,7.0
La vita è bella,,,,http://1.fwcdn.pl/po/02/08/208/7520031.4.jpg,14,8.0
A Beautiful Mind,,,,http://1.fwcdn.pl/po/18/64/31864/7521208.4.jpg,19,8.0
Scarface,,,,http://1.fwcdn.pl/po/48/33/4833/6935904.4.jpg,22,8.0
Léon,,,,http://1.fwcdn.pl/po/06/71/671/7016965.4.jpg,26,8.0
The Boy in the Striped Pyjamas,,,,http://1.fwcdn.pl/po/01/36/420136/7347382.4.jpg,27,8.0
Shutter Island,,,,http://1.fwcdn.pl/po/42/56/464256/7317256.4.jpg,29,8.0
The Notebook,,,,http://1.fwcdn.pl/po/88/87/38887/7386912.4.jpg,37,8.0
The Pursuit of Happyness,,,,http://1.fwcdn.pl/po/00/46/240046/7131963.4.jpg,38,8.0
Scent of a Woman,,,,http://1.fwcdn.pl/po/10/93/1093/7377615.4.jpg,39,8.0
Once Upon a Time in America,,,,http://1.fwcdn.pl/po/10/38/1038/7618279.4.jpg,42,8.0
Good Will Hunting,,,,http://1.fwcdn.pl/po/00/21/21/6986021.4.jpg,43,8.0
Platoon,,,,http://1.fwcdn.pl/po/10/68/1068/7500874.4.jpg,44,8.0
"Il buono, il brutto, il cattivo.",,,,http://1.fwcdn.pl/po/51/03/5103/7530235.4.jpg,45,8.0
The Help,,,,http://1.fwcdn.pl/po/71/27/567127/7435839.4.jpg,46,8.0
Casino,,,,http://1.fwcdn.pl/po/10/29/1029/7026159.4.jpg,47,7.0
The Deer Hunter,,,,http://1.fwcdn.pl/po/10/45/1045/7563795.4.jpg,50,7.0
Heat,,,,http://1.fwcdn.pl/po/06/60/660/6924574.4.jpg,51,7.0
Seven Pounds,,,,http://1.fwcdn.pl/po/99/74/459974/7380825.4.jpg,55,7.0
The Godfather: Part III,,,,http://1.fwcdn.pl/po/10/91/1091/7196617.4.jpg,56,7.0
Cidade de Deus,,,,http://1.fwcdn.pl/po/83/77/38377/6900691.4.jpg,57,7.0
Star Wars,,,,http://1.fwcdn.pl/po/07/59/759/7301614.4.jpg,59,7.0
Hachi: A Dog's Tale,,,,http://1.fwcdn.pl/po/99/35/449935/7350038.4.jpg,61,7.0
The Devil's Advocate,,,,http://1.fwcdn.pl/po/00/02/2/6956729.4.jpg,62,7.0
"Girl, Interrupted",,,,http://1.fwcdn.pl/po/08/82/882/7622531.4.jpg,65,7.0
Enemy at the Gates,,,,http://1.fwcdn.pl/po/54/21/5421/6926242.4.jpg,68,7.0
Into the Wild,,,,http://1.fwcdn.pl/po/78/29/297829/7187777.4.jpg,69,7.0
Life of Brian,,,,http://1.fwcdn.pl/po/10/99/1099/7364767.4.jpg,70,7.0
Nuovo cinema Paradiso,,,,http://1.fwcdn.pl/po/82/28/8228/7085935.4.jpg,71,7.0
